epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,166.487,3.36937,3.23813,2.84916,2.67704,0.01333,1,0.06723,0.0239,0.01333,1,0.12653,0.03408,2.29726,3.2754,2.90642,2.55723,0.0011783,0.0011783,0.0011783
85,170.751,3.11355,3.14543,2.88772,2.74172,0.01333,1,0.06723,0.0239,0.01333,1,0.12653,0.03408,2.29726,3.2754,2.90642,2.55723,0.0011684,0.0011684,0.0011684
86,173.592,3.06221,2.98474,2.92397,2.76308,0.01333,1,0.06723,0.0239,0.01333,1,0.12653,0.03408,2.29726,3.2754,2.90642,2.55723,0.0011585,0.0011585,0.0011585
87,178.33,3.1359,3.03028,2.91939,2.78368,0.01333,1,0.1152,0.03461,0.01333,1,0.21331,0.05601,2.20238,3.13701,2.8408,2.52994,0.0011486,0.0011486,0.0011486
88,183.458,3.129,3.08234,2.78082,2.59796,0.01333,1,0.1152,0.03461,0.01333,1,0.21331,0.05601,2.20238,3.13701,2.8408,2.52994,0.0011387,0.0011387,0.0011387
89,185.898,2.98942,2.89856,2.85763,2.68498,0.01333,1,0.14624,0.04445,0.01333,1,0.23083,0.06758,2.19915,3.09346,2.73317,2.52047,0.0011288,0.0011288,0.0011288
90,188.36,3.06729,2.66712,2.76514,2.67773,0.01333,1,0.14624,0.04445,0.01333,1,0.23083,0.06758,2.19915,3.09346,2.73317,2.52047,0.0011189,0.0011189,0.0011189
91,190.837,3.16396,2.86565,2.87508,2.83279,0.01333,1,0.14624,0.04445,0.01333,1,0.23083,0.06758,2.19915,3.09346,2.73317,2.52047,0.001109,0.001109,0.001109
92,193.084,3.14517,2.91605,2.78699,2.62548,0.01333,1,0.17811,0.04968,0.01333,1,0.19652,0.05286,2.205,3.28514,2.64455,2.55848,0.0010991,0.0010991,0.0010991
93,195.237,3.13526,2.87806,2.82696,2.7695,0.01333,1,0.17811,0.04968,0.01333,1,0.19652,0.05286,2.205,3.28514,2.64455,2.55848,0.0010892,0.0010892,0.0010892
94,198.241,3.19853,2.95586,2.77541,2.65945,0.01333,1,0.17811,0.04968,0.01333,1,0.19652,0.05286,2.205,3.28514,2.64455,2.55848,0.0010793,0.0010793,0.0010793
95,200.743,3.11395,2.59772,2.79926,2.75514,0.01333,1,0.10205,0.02969,0.01278,0.95833,0.10062,0.03089,2.24694,3.74399,2.63105,2.61226,0.0010694,0.0010694,0.0010694
96,202.916,2.90635,2.56909,2.75945,2.6235,0.01333,1,0.10205,0.02969,0.01278,0.95833,0.10062,0.03089,2.24694,3.74399,2.63105,2.61226,0.0010595,0.0010595,0.0010595
97,205.667,3.09114,2.81014,2.67587,2.59765,0.01333,1,0.05563,0.017,0.01278,0.95833,0.05731,0.01699,2.43829,4.13482,2.68899,2.67568,0.0010496,0.0010496,0.0010496
98,208.118,3.08888,2.59828,2.73791,2.63258,0.01333,1,0.05563,0.017,0.01278,0.95833,0.05731,0.01699,2.43829,4.13482,2.68899,2.67568,0.0010397,0.0010397,0.0010397
99,210.589,2.91788,2.6446,2.7433,2.63314,0.01333,1,0.05563,0.017,0.01278,0.95833,0.05731,0.01699,2.43829,4.13482,2.68899,2.67568,0.0010298,0.0010298,0.0010298
100,212.999,2.90178,2.4913,2.73896,2.66825,0.01333,1,0.05035,0.01443,0.01278,0.95833,0.04519,0.01301,2.46218,4.30225,2.69958,2.68319,0.0010199,0.0010199,0.0010199
101,215.467,2.91916,2.29811,2.72498,2.6712,0.01333,1,0.05035,0.01443,0.01278,0.95833,0.04519,0.01301,2.46218,4.30225,2.69958,2.68319,0.00101,0.00101,0.00101
102,217.652,2.8298,2.51608,2.77184,2.6465,0.01333,1,0.05035,0.01443,0.01278,0.95833,0.04519,0.01301,2.46218,4.30225,2.69958,2.68319,0.0010001,0.0010001,0.0010001
103,219.983,2.86739,2.41474,2.78251,2.68174,0.01333,1,0.07479,0.02189,0.01278,0.95833,0.07362,0.02251,2.35875,4.3006,2.61502,2.62826,0.0009902,0.0009902,0.0009902
104,222.412,2.78874,2.25379,2.68125,2.5993,0.01333,1,0.07479,0.02189,0.01278,0.95833,0.07362,0.02251,2.35875,4.3006,2.61502,2.62826,0.0009803,0.0009803,0.0009803
105,224.686,2.91363,2.37017,2.75674,2.75283,0.01333,1,0.1594,0.04418,0.01333,1,0.16837,0.05544,2.29994,3.84659,2.45426,2.58628,0.0009704,0.0009704,0.0009704
106,226.944,3.00319,2.44092,2.67316,2.56914,0.01333,1,0.1594,0.04418,0.01333,1,0.16837,0.05544,2.29994,3.84659,2.45426,2.58628,0.0009605,0.0009605,0.0009605
107,229.579,2.854,2.42753,2.68733,2.58444,0.01333,1,0.1594,0.04418,0.01333,1,0.16837,0.05544,2.29994,3.84659,2.45426,2.58628,0.0009506,0.0009506,0.0009506
108,232.032,2.89752,2.47452,2.62947,2.49001,0.13544,0.83333,0.28022,0.07539,0.22658,0.83333,0.33072,0.1324,2.29848,3.09597,2.33202,2.57815,0.0009407,0.0009407,0.0009407
109,234.908,2.88445,2.32492,2.62129,2.55984,0.13544,0.83333,0.28022,0.07539,0.22658,0.83333,0.33072,0.1324,2.29848,3.09597,2.33202,2.57815,0.0009308,0.0009308,0.0009308
110,237.371,2.87919,2.15849,2.6922,2.72723,0.13544,0.83333,0.28022,0.07539,0.22658,0.83333,0.33072,0.1324,2.29848,3.09597,2.33202,2.57815,0.0009209,0.0009209,0.0009209
111,239.576,2.95834,2.35143,2.6598,2.66778,0.29313,0.43223,0.35142,0.09978,0.29313,0.43223,0.3528,0.16327,2.30716,2.71705,2.26379,2.58377,0.000911,0.000911,0.000911
112,242.143,2.77306,2.19655,2.5355,2.4401,0.29313,0.43223,0.35142,0.09978,0.29313,0.43223,0.3528,0.16327,2.30716,2.71705,2.26379,2.58377,0.0009011,0.0009011,0.0009011
113,244.32,2.75476,2.18914,2.55196,2.43171,0.34002,0.375,0.35709,0.11344,0.34002,0.375,0.36301,0.17761,2.36761,2.62131,2.22465,2.62477,0.0008912,0.0008912,0.0008912
114,246.51,2.56811,2.12592,2.66941,2.76787,0.34002,0.375,0.35709,0.11344,0.34002,0.375,0.36301,0.17761,2.36761,2.62131,2.22465,2.62477,0.0008813,0.0008813,0.0008813
115,249.171,2.69189,2.03406,2.59985,2.65689,0.34002,0.375,0.35709,0.11344,0.34002,0.375,0.36301,0.17761,2.36761,2.62131,2.22465,2.62477,0.0008714,0.0008714,0.0008714
116,251.923,2.80162,2.42874,2.5687,2.59202,0.35127,0.45833,0.35297,0.12297,0.35127,0.45833,0.35802,0.18353,2.425,2.6722,2.23426,2.64988,0.0008615,0.0008615,0.0008615
117,254.303,2.80227,2.13087,2.51595,2.55897,0.35127,0.45833,0.35297,0.12297,0.35127,0.45833,0.35802,0.18353,2.425,2.6722,2.23426,2.64988,0.0008516,0.0008516,0.0008516
118,256.889,2.78787,2.41092,2.48068,2.5086,0.35127,0.45833,0.35297,0.12297,0.35127,0.45833,0.35802,0.18353,2.425,2.6722,2.23426,2.64988,0.0008417,0.0008417,0.0008417
119,259.051,2.58325,2.02537,2.55435,2.60747,0.32339,0.29167,0.35594,0.12005,0.32339,0.29167,0.36261,0.18244,2.46391,2.69479,2.20175,2.66233,0.0008318,0.0008318,0.0008318
120,261.13,2.82654,2.13872,2.42358,2.42878,0.32339,0.29167,0.35594,0.12005,0.32339,0.29167,0.36261,0.18244,2.46391,2.69479,2.20175,2.66233,0.0008219,0.0008219,0.0008219
121,263.183,2.59528,2.08854,2.43112,2.50721,0.30707,0.38805,0.35767,0.13016,0.30707,0.38805,0.36185,0.18295,2.45656,2.70681,2.13317,2.63207,0.000812,0.000812,0.000812
122,265.055,2.54106,1.96842,2.47066,2.47547,0.30707,0.38805,0.35767,0.13016,0.30707,0.38805,0.36185,0.18295,2.45656,2.70681,2.13317,2.63207,0.0008021,0.0008021,0.0008021
123,267.11,2.65318,2.09475,2.48163,2.57125,0.30707,0.38805,0.35767,0.13016,0.30707,0.38805,0.36185,0.18295,2.45656,2.70681,2.13317,2.63207,0.0007922,0.0007922,0.0007922
124,269.05,2.77804,2.09879,2.56025,2.6381,0.29108,0.44506,0.35089,0.13332,0.29108,0.44506,0.35364,0.18847,2.42031,2.69878,2.0701,2.60838,0.0007823,0.0007823,0.0007823
125,270.887,2.54811,2.17107,2.40776,2.40664,0.29108,0.44506,0.35089,0.13332,0.29108,0.44506,0.35364,0.18847,2.42031,2.69878,2.0701,2.60838,0.0007724,0.0007724,0.0007724
126,272.76,2.50147,1.91849,2.45434,2.5022,0.29108,0.44506,0.35089,0.13332,0.29108,0.44506,0.35364,0.18847,2.42031,2.69878,2.0701,2.60838,0.0007625,0.0007625,0.0007625
127,274.981,2.51112,1.99835,2.45627,2.51445,0.30653,0.5,0.37084,0.14144,0.30136,0.5,0.37335,0.20273,2.39228,2.60866,2.02155,2.56382,0.0007526,0.0007526,0.0007526
128,277.442,2.56344,1.96154,2.38318,2.41314,0.30653,0.5,0.37084,0.14144,0.30136,0.5,0.37335,0.20273,2.39228,2.60866,2.02155,2.56382,0.0007427,0.0007427,0.0007427
129,279.342,2.56948,1.98768,2.4164,2.40751,0.32366,0.5,0.40649,0.16492,0.32366,0.5,0.41205,0.23096,2.36957,2.64587,1.9943,2.54123,0.0007328,0.0007328,0.0007328
130,281.14,2.60178,1.95804,2.45235,2.60169,0.32366,0.5,0.40649,0.16492,0.32366,0.5,0.41205,0.23096,2.36957,2.64587,1.9943,2.54123,0.0007229,0.0007229,0.0007229
