epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,5739.22,0.58768,0.74343,0.33937,0.94365,0.9975,0.99999,0.995,0.92358,0.9975,0.99999,0.995,0.8767,0.44373,0.60298,0.25233,0.91009,0.000614,0.000614,0.000614
72,5824.88,0.59097,0.75014,0.34384,0.94965,0.99982,0.99749,0.995,0.91852,0.99982,0.99749,0.995,0.87075,0.44395,0.60674,0.25621,0.91122,0.0005942,0.0005942,0.0005942
73,5906.38,0.58519,0.73748,0.34005,0.93684,1,0.99981,0.995,0.93125,1,0.99981,0.995,0.87744,0.43797,0.61253,0.24869,0.90883,0.0005744,0.0005744,0.0005744
74,5998.75,0.57675,0.73184,0.33782,0.93512,0.99978,0.99749,0.995,0.92785,0.99978,0.99749,0.995,0.87563,0.44748,0.60875,0.2501,0.91222,0.0005546,0.0005546,0.0005546
75,6110.43,0.56477,0.70756,0.33137,0.93073,1,0.9973,0.995,0.92599,1,0.9973,0.995,0.87903,0.44472,0.6077,0.25028,0.91103,0.0005348,0.0005348,0.0005348
76,6220.93,0.582,0.74967,0.33695,0.94223,0.99947,0.99749,0.995,0.9332,0.99947,0.99749,0.995,0.88159,0.4378,0.60752,0.24981,0.90945,0.000515,0.000515,0.000515
77,6302.86,0.58413,0.74505,0.33945,0.94027,0.99808,0.99749,0.995,0.92407,0.99808,0.99749,0.995,0.87229,0.44235,0.60485,0.25328,0.91041,0.0004952,0.0004952,0.0004952
78,6382.57,0.57834,0.71521,0.33605,0.94054,0.99982,0.99749,0.995,0.9332,0.99982,0.99749,0.995,0.87973,0.4335,0.60513,0.24508,0.90605,0.0004754,0.0004754,0.0004754
79,6492.11,0.58793,0.74513,0.34535,0.94587,1,0.99977,0.995,0.92347,1,0.99977,0.995,0.87293,0.44139,0.59869,0.24902,0.90974,0.0004556,0.0004556,0.0004556
80,6596.02,0.56978,0.74447,0.33011,0.93752,0.9998,0.99749,0.995,0.92764,0.9998,0.99749,0.995,0.87703,0.43234,0.60222,0.24469,0.90689,0.0004358,0.0004358,0.0004358
81,6675.37,0.5744,0.73922,0.33048,0.93877,0.99981,0.99749,0.995,0.92883,0.99981,0.99749,0.995,0.87894,0.43858,0.59729,0.24388,0.90608,0.000416,0.000416,0.000416
82,6754.77,0.57558,0.7361,0.33268,0.93823,1,0.9999,0.995,0.92381,1,0.9999,0.995,0.8759,0.44067,0.59632,0.24707,0.90977,0.0003962,0.0003962,0.0003962
83,6834.69,0.57392,0.75765,0.34005,0.94075,0.99985,1,0.995,0.92876,0.99985,1,0.995,0.88148,0.43884,0.59954,0.24248,0.90593,0.0003764,0.0003764,0.0003764
84,6913.66,0.56815,0.72229,0.33209,0.93409,0.99976,0.99749,0.995,0.93101,0.99976,0.99749,0.995,0.88345,0.43166,0.5993,0.23974,0.9036,0.0003566,0.0003566,0.0003566
85,6991.69,0.56914,0.73467,0.33173,0.93629,0.9997,0.99749,0.995,0.93384,0.9997,0.99749,0.995,0.87736,0.43313,0.60103,0.24008,0.90579,0.0003368,0.0003368,0.0003368
86,7070.15,0.57457,0.73331,0.33571,0.94152,0.99977,0.99749,0.995,0.93374,0.99977,0.99749,0.995,0.88031,0.4378,0.59982,0.24458,0.90774,0.000317,0.000317,0.000317
87,7150.22,0.56652,0.73823,0.33012,0.9343,0.9998,0.99749,0.995,0.92746,0.9998,0.99749,0.995,0.87962,0.43698,0.59489,0.23999,0.90772,0.0002972,0.0002972,0.0002972
88,7228.89,0.55791,0.73487,0.32712,0.93035,0.9998,0.99749,0.995,0.92814,0.9998,0.99749,0.995,0.87758,0.43125,0.59678,0.24016,0.90628,0.0002774,0.0002774,0.0002774
89,7308.24,0.55133,0.70649,0.3211,0.93224,1,0.99976,0.995,0.93448,1,0.99976,0.995,0.87736,0.42527,0.59651,0.23891,0.90343,0.0002576,0.0002576,0.0002576
90,7388.12,0.55311,0.71373,0.32217,0.93514,0.9998,0.99749,0.995,0.93561,0.9998,0.99749,0.995,0.87861,0.42902,0.60256,0.23689,0.90359,0.0002378,0.0002378,0.0002378
91,7463.85,0.49703,0.59361,0.29304,0.93656,0.99977,0.99749,0.995,0.92839,0.99977,0.99749,0.995,0.88036,0.43432,0.59876,0.24735,0.90611,0.000218,0.000218,0.000218
92,7537.81,0.495,0.58168,0.28637,0.92872,0.99974,0.99749,0.995,0.9285,0.99974,0.99749,0.995,0.87697,0.4305,0.59674,0.24678,0.9058,0.0001982,0.0001982,0.0001982
93,7611.82,0.48803,0.57636,0.28111,0.92518,0.99974,0.99749,0.995,0.92985,0.99974,0.99749,0.995,0.88184,0.42708,0.60166,0.24191,0.90346,0.0001784,0.0001784,0.0001784
94,7685.5,0.48597,0.5765,0.27874,0.92046,0.99981,0.99749,0.995,0.93403,0.99981,0.99749,0.995,0.8828,0.42432,0.59776,0.24067,0.90188,0.0001586,0.0001586,0.0001586
95,7760.67,0.48068,0.57221,0.27628,0.92386,1,0.99976,0.995,0.93148,1,0.99976,0.995,0.88626,0.42711,0.59871,0.24185,0.90136,0.0001388,0.0001388,0.0001388
96,7846.74,0.47631,0.579,0.27667,0.92065,0.99981,0.99749,0.995,0.93838,0.99981,0.99749,0.995,0.887,0.42694,0.59511,0.24029,0.90196,0.000119,0.000119,0.000119
97,7933.56,0.46985,0.57591,0.27298,0.91877,0.99981,0.99749,0.995,0.93695,0.99981,0.99749,0.995,0.88246,0.42666,0.5949,0.23709,0.90184,9.92e-05,9.92e-05,9.92e-05
98,8020.52,0.476,0.57662,0.27281,0.9149,0.99982,0.99749,0.995,0.93764,0.99982,0.99749,0.995,0.88202,0.42411,0.59583,0.23766,0.90042,7.94e-05,7.94e-05,7.94e-05
99,8114.85,0.47058,0.57282,0.27125,0.91211,0.99976,0.99749,0.995,0.93885,0.99976,0.99749,0.995,0.88718,0.42366,0.59619,0.23714,0.89995,5.96e-05,5.96e-05,5.96e-05
100,8189.9,0.46715,0.57422,0.269,0.90858,0.99936,0.99749,0.995,0.93633,0.99936,0.99749,0.995,0.8844,0.42435,0.59528,0.23706,0.90082,3.98e-05,3.98e-05,3.98e-05
