epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3961.91,0.85586,1.06497,0.51101,1.05129,0.99964,1,0.995,0.85105,0.99964,1,0.995,0.81752,0.66283,0.79113,0.40146,1.03793,0.0015941,0.0015941,0.0015941
43,4054.96,0.84373,1.03815,0.51714,1.05342,0.99683,0.99749,0.995,0.84727,0.99683,0.99749,0.995,0.82495,0.64976,0.79112,0.39982,1.04268,0.0015842,0.0015842,0.0015842
44,4150.25,0.84208,1.04101,0.51859,1.05967,0.99805,0.99749,0.995,0.84234,0.99805,0.99749,0.995,0.82195,0.66091,0.79156,0.40195,1.03948,0.0015743,0.0015743,0.0015743
45,4227.31,0.84845,1.00592,0.51419,1.05338,0.9992,0.99749,0.995,0.85364,0.9992,0.99749,0.995,0.81634,0.61817,0.77129,0.39983,1.01556,0.0015644,0.0015644,0.0015644
46,4303.47,0.84388,0.99247,0.51786,1.05776,0.99728,0.99749,0.995,0.84997,0.99728,0.99749,0.995,0.82768,0.63916,0.75995,0.39249,1.02646,0.0015545,0.0015545,0.0015545
47,4380.09,0.84725,1.00725,0.52135,1.05407,0.99928,1,0.995,0.8565,0.99928,1,0.995,0.82572,0.63503,0.74963,0.38807,1.02279,0.0015446,0.0015446,0.0015446
48,4457.42,0.83819,1.00105,0.50642,1.04323,0.99975,0.99749,0.995,0.84998,0.99975,0.99749,0.995,0.82921,0.61721,0.73518,0.39087,1.01776,0.0015347,0.0015347,0.0015347
49,4534.55,0.83297,0.98415,0.50457,1.04798,0.99729,1,0.995,0.85734,0.99729,1,0.995,0.8238,0.62053,0.74492,0.38696,1.01493,0.0015248,0.0015248,0.0015248
50,4611.4,0.82389,0.97986,0.49872,1.04298,0.99939,0.99749,0.995,0.85522,0.99939,0.99749,0.995,0.83767,0.61083,0.73126,0.38656,1.01187,0.0015149,0.0015149,0.0015149
51,4688.47,0.8086,0.97454,0.49413,1.03665,0.99644,0.99749,0.995,0.87211,0.99644,0.99749,0.995,0.83446,0.59552,0.7394,0.37828,1.00852,0.001505,0.001505,0.001505
52,4764.48,0.83018,1.00133,0.50127,1.0395,0.99577,0.99749,0.995,0.86229,0.99577,0.99749,0.995,0.81568,0.63917,0.76454,0.39081,1.0237,0.0014951,0.0014951,0.0014951
53,4841.89,0.79636,0.98507,0.47918,1.02986,0.99705,1,0.995,0.8691,0.99705,1,0.995,0.82374,0.59561,0.7535,0.3801,1.00289,0.0014852,0.0014852,0.0014852
54,4918.43,0.80035,0.96519,0.48449,1.03314,0.99948,0.99749,0.995,0.86606,0.99948,0.99749,0.995,0.84096,0.58778,0.71592,0.36631,0.99554,0.0014753,0.0014753,0.0014753
55,4995.16,0.77915,0.92701,0.47382,1.02568,0.99715,0.99749,0.99495,0.85437,0.99715,0.99749,0.99495,0.83908,0.61323,0.72214,0.38963,1.00804,0.0014654,0.0014654,0.0014654
56,5076.12,0.80628,0.97066,0.48513,1.02682,0.99968,0.99749,0.995,0.8651,0.99968,0.99749,0.995,0.84542,0.59959,0.7291,0.35826,0.99663,0.0014555,0.0014555,0.0014555
