epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,3998.78,0.58951,0.72719,0.35026,0.94054,0.99983,1,0.995,0.92217,0.99983,1,0.995,0.87967,0.45727,0.6077,0.26412,0.91279,0.00155045,0.00155045,0.00155045
47,4100.73,0.60545,0.73292,0.3609,0.94253,0.99858,0.99749,0.995,0.9036,0.99858,0.99749,0.995,0.87128,0.49928,0.61501,0.28642,0.92964,0.00154046,0.00154046,0.00154046
48,4182.4,0.60834,0.74598,0.35753,0.94423,0.99972,0.99749,0.995,0.91971,0.99972,0.99749,0.995,0.87219,0.47707,0.60403,0.26436,0.92293,0.00153047,0.00153047,0.00153047
49,4278.51,0.59906,0.73589,0.34598,0.94478,0.99745,1,0.99498,0.91004,0.99745,1,0.99498,0.86989,0.47511,0.60725,0.26648,0.92141,0.00152048,0.00152048,0.00152048
50,4359.56,0.59367,0.72358,0.34689,0.94201,0.99976,0.99749,0.995,0.91811,0.99976,0.99749,0.995,0.87639,0.47392,0.61062,0.27285,0.92373,0.00151049,0.00151049,0.00151049
51,4440.1,0.57724,0.70969,0.34486,0.93543,0.99699,1,0.995,0.91312,0.99699,1,0.995,0.87341,0.46232,0.62257,0.26692,0.91934,0.0015005,0.0015005,0.0015005
52,4540.62,0.60678,0.74615,0.35124,0.94155,0.99951,1,0.995,0.91261,0.99951,1,0.995,0.87211,0.46338,0.61989,0.2631,0.91361,0.00149051,0.00149051,0.00149051
53,4628.83,0.59783,0.74477,0.34568,0.93904,1,0.99982,0.995,0.91391,1,0.99982,0.995,0.86811,0.46588,0.61665,0.26341,0.92096,0.00148052,0.00148052,0.00148052
54,4709.45,0.59304,0.73505,0.34604,0.94409,0.99969,0.99749,0.995,0.91326,0.99969,0.99749,0.995,0.87289,0.45925,0.60117,0.26134,0.91773,0.00147053,0.00147053,0.00147053
55,4788.52,0.57385,0.71247,0.34129,0.93627,0.99973,0.99749,0.995,0.92663,0.99973,0.99749,0.995,0.88362,0.45313,0.60347,0.26353,0.91478,0.00146054,0.00146054,0.00146054
56,4870.36,0.59242,0.75624,0.34856,0.93783,0.99967,0.99749,0.995,0.9285,0.99967,0.99749,0.995,0.87705,0.45781,0.60886,0.25635,0.91485,0.00145055,0.00145055,0.00145055
57,4949.97,0.59598,0.74198,0.3458,0.93721,0.99972,0.99749,0.995,0.92477,0.99972,0.99749,0.995,0.88747,0.46642,0.59517,0.26454,0.91433,0.00144056,0.00144056,0.00144056
58,5029.91,0.60883,0.75391,0.34978,0.9459,0.99982,0.99749,0.995,0.92667,0.99982,0.99749,0.995,0.86839,0.44601,0.62442,0.25293,0.91227,0.00143057,0.00143057,0.00143057
59,5110.89,0.61006,0.75521,0.35602,0.95034,0.99972,0.99749,0.995,0.91689,0.99972,0.99749,0.995,0.87014,0.4675,0.60509,0.2609,0.91739,0.00142058,0.00142058,0.00142058
60,5207.81,0.58343,0.73013,0.34255,0.93776,0.99963,0.99749,0.995,0.92367,0.99963,0.99749,0.995,0.86898,0.45059,0.62285,0.2525,0.91034,0.00141059,0.00141059,0.00141059
61,5308.82,0.58487,0.73537,0.33962,0.93525,0.99987,1,0.995,0.92487,0.99987,1,0.995,0.87861,0.47012,0.59965,0.26053,0.91959,0.0014006,0.0014006,0.0014006
62,5414.55,0.60013,0.73914,0.34423,0.94084,0.99974,0.99749,0.995,0.9088,0.99974,0.99749,0.995,0.87189,0.46157,0.61124,0.25919,0.91511,0.00139061,0.00139061,0.00139061
63,5507.51,0.58965,0.73199,0.34615,0.94193,0.99712,1,0.995,0.92671,0.99712,1,0.995,0.87711,0.44849,0.60829,0.25433,0.90867,0.00138062,0.00138062,0.00138062
64,5592.25,0.5843,0.73617,0.34049,0.93254,0.99965,0.99749,0.995,0.92499,0.99965,0.99749,0.995,0.87335,0.44912,0.60038,0.24455,0.91241,0.00137063,0.00137063,0.00137063
65,5689.64,0.59313,0.73383,0.34557,0.94181,0.99956,0.99749,0.995,0.91903,0.99956,0.99749,0.995,0.87314,0.46493,0.60332,0.25901,0.91987,0.00136064,0.00136064,0.00136064
66,5779.09,0.5751,0.71797,0.33606,0.9375,0.99964,1,0.995,0.91827,0.99964,1,0.995,0.88234,0.45247,0.60473,0.25019,0.91205,0.00135065,0.00135065,0.00135065
67,5869.89,0.58192,0.72907,0.33816,0.93519,0.99964,1,0.995,0.91431,0.99964,1,0.995,0.88014,0.45312,0.60953,0.25793,0.91419,0.00134066,0.00134066,0.00134066
68,5955.85,0.58563,0.72841,0.34453,0.94273,0.99945,0.99749,0.995,0.91553,1,0.99986,0.995,0.875,0.44441,0.60106,0.25319,0.9071,0.00133067,0.00133067,0.00133067
69,6061.16,0.58878,0.7428,0.33897,0.93863,0.9975,0.99982,0.995,0.9269,0.9975,0.99982,0.995,0.87473,0.43134,0.612,0.24471,0.90473,0.00132068,0.00132068,0.00132068
70,6158.28,0.58353,0.74543,0.34193,0.94016,0.99962,0.99749,0.995,0.92953,0.99962,0.99749,0.995,0.87614,0.43718,0.60803,0.24919,0.90783,0.00131069,0.00131069,0.00131069
71,6266.26,0.59207,0.73013,0.34105,0.94273,0.99975,1,0.995,0.92603,0.99975,1,0.995,0.88238,0.44235,0.59209,0.24799,0.90768,0.0013007,0.0013007,0.0013007
72,6378.33,0.6042,0.74368,0.34698,0.95215,0.99997,1,0.995,0.92027,0.99997,1,0.995,0.86889,0.44286,0.6005,0.2517,0.90732,0.00129071,0.00129071,0.00129071
73,6480.82,0.58663,0.72359,0.33955,0.93532,0.99965,0.99749,0.995,0.92921,0.99965,0.99749,0.995,0.88493,0.42897,0.59532,0.24563,0.90149,0.00128072,0.00128072,0.00128072
74,6585.03,0.57898,0.7328,0.33507,0.93369,0.99976,0.99749,0.995,0.92914,0.99976,0.99749,0.995,0.87377,0.43552,0.5912,0.24658,0.9054,0.00127073,0.00127073,0.00127073
75,6697.86,0.56836,0.69994,0.33118,0.93051,0.99991,1,0.995,0.92982,0.99991,1,0.995,0.87868,0.43059,0.60236,0.24338,0.90224,0.00126074,0.00126074,0.00126074
76,6794.99,0.57461,0.73592,0.33057,0.93784,1,0.99982,0.995,0.92692,1,0.99982,0.995,0.88175,0.44209,0.59785,0.24502,0.90861,0.00125075,0.00125075,0.00125075
77,6883.88,0.59012,0.74337,0.34137,0.94087,1,0.99963,0.995,0.91812,1,0.99963,0.995,0.87598,0.4394,0.5928,0.24573,0.90839,0.00124076,0.00124076,0.00124076
78,6967.86,0.58053,0.70836,0.33388,0.93991,0.99968,1,0.995,0.92571,0.99968,1,0.995,0.87794,0.45035,0.60383,0.24611,0.91077,0.00123077,0.00123077,0.00123077
79,7053.69,0.59304,0.73652,0.34534,0.9445,1,0.99971,0.995,0.92441,1,0.99971,0.995,0.87654,0.4384,0.59084,0.2454,0.90697,0.00122078,0.00122078,0.00122078
80,7133.23,0.57392,0.73682,0.33191,0.93663,0.9998,1,0.995,0.92911,0.9998,1,0.995,0.87419,0.42848,0.59743,0.24554,0.90259,0.00121079,0.00121079,0.00121079
